Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G
Sample733	486	73	62	112	82	67	104
Sample734	465	110	97	98	72	110	31
Sample735	506	154	97	20	135	0	88
Sample736	534	1	174	96	47	74	74
Sample737	271	257	91	27	0	266	70
Sample738	165	378	11	123	180	0	162
Sample739	539	192	44	63	71	15	63
Sample740	444	185	121	117	43	26	44
Sample741	517	95	96	105	88	43	44
Sample742	209	157	6	171	258	87	128
Sample743	501	169	153	0	123	0	39
Sample744	473	70	205	55	69	106	10
Sample745	374	176	231	37	35	140	27
Sample746	465	28	165	34	145	41	102
Sample747	23	317	186	49	218	30	191
Sample748	89	432	94	116	15	117	117
Sample749	526	123	107	67	71	53	34
Sample750	199	306	96	175	35	0	217
Sample751	503	124	116	82	73	19	101
Sample752	139	0	465	282	0	28	58
Sample753	474	101	62	117	31	156	45
Sample754	515	117	68	96	49	48	93
Sample755	539	84	145	56	85	49	27
Sample756	540	77	67	156	44	70	46
Sample757	122	402	93	71	77	32	186
Sample758	120	446	114	64	53	80	108
Sample759	428	62	87	173	129	122	21
Sample760	482	132	183	0	100	0	88
Sample761	527	49	70	168	49	97	48
Sample762	470	98	85	89	47	124	87
Sample763	485	101	120	53	71	46	109
Sample764	182	305	100	212	56	13	102
Sample765	490	73	183	80	66	91	17
Sample766	558	104	115	22	71	68	42
Sample767	256	245	61	186	0	0	234
Sample768	474	191	165	0	75	0	110
Sample769	410	124	71	88	61	227	0
Sample770	454	177	152	93	24	52	26
Sample771	545	46	107	130	70	93	35
Sample772	452	102	202	54	99	35	40
Sample773	449	195	123	58	25	93	37
Sample774	455	53	178	79	96	79	40
Sample775	360	70	106	47	49	278	68
Sample776	139	0	465	282	0	28	58
Sample777	53	337	79	114	230	16	185
Sample778	488	65	149	11	48	61	170
Sample779	114	452	40	203	18	0	152
Sample780	420	132	129	145	42	76	70
Sample781	450	152	124	115	13	157	2
Sample782	582	75	92	52	71	67	41
Sample783	458	146	142	82	41	121	10
Sample784	250	2	71	187	328	112	64
Sample785	490	98	130	168	43	64	25
Sample786	475	105	111	46	94	75	79
Sample787	463	155	247	45	37	38	23
Sample788	106	419	85	86	17	127	142
Sample789	222	403	20	124	95	25	84
Sample790	487	104	150	94	86	34	45
Sample791	590	93	146	18	78	0	83
Sample792	340	45	236	149	70	95	99
Sample793	176	127	446	0	163	56	55
Sample794	436	25	12	147	83	242	22
Sample795	457	147	123	34	99	58	99
Sample796	165	175	191	71	91	282	13
Sample797	504	41	171	51	91	92	50
Sample798	210	510	152	0	82	10	58
Sample799	91	422	105	148	34	85	89
Sample800	492	103	142	95	123	4	33
Sample801	515	40	162	81	54	96	52
Sample802	155	180	103	173	57	72	229
Sample803	521	82	100	96	93	67	49
Sample804	506	103	158	69	119	19	44
Sample805	571	75	124	28	85	58	40
Sample806	537	124	143	0	115	17	54
Sample807	551	30	63	164	41	113	52
Sample808	243	156	292	38	24	217	0
Sample809	98	500	78	140	74	0	91
Sample810	504	65	181	22	89	50	74
Sample811	524	110	134	58	78	54	42
Sample812	470	178	75	176	60	52	15
Sample813	535	99	89	84	66	73	33
Sample814	490	166	125	64	50	41	50
Sample815	529	126	58	105	58	77	47
Sample816	129	536	45	116	22	0	132
Sample817	468	53	62	215	65	137	34
Sample818	25	78	475	112	184	47	72
Sample819	449	141	0	143	78	96	76
Sample820	374	62	83	139	71	205	42
Sample821	467	56	179	86	40	125	66
Sample822	486	76	192	48	81	81	20
Sample823	498	73	180	110	62	55	22
Sample824	571	75	124	28	85	58	40
Sample825	143	222	200	163	26	164	62
Sample826	0	355	238	107	41	122	111
Sample827	433	114	188	46	65	87	75
Sample828	485	124	95	68	132	75	29
Sample829	498	130	69	126	36	46	87
Sample830	42	291	72	190	219	2	193
Sample831	541	8	150	87	55	120	18
Sample832	198	460	166	0	83	31	89
Sample833	484	29	106	187	76	77	33
Sample834	423	115	156	114	106	49	50
Sample835	139	0	465	282	0	28	58
Sample836	477	53	252	0	138	24	41
Sample837	155	506	72	59	41	78	77
Sample838	514	78	172	54	68	74	19
Sample839	495	155	194	3	120	0	51
Sample840	109	0	129	24	108	351	287
Sample841	243	375	77	86	65	69	66
Sample842	525	0	178	68	95	106	47
Sample843	139	0	465	282	0	28	58
Sample844	567	89	112	56	51	85	32
Sample845	136	503	98	65	56	0	108
Sample846	263	38	1	259	259	133	62
Sample847	351	55	84	117	132	260	2
Sample848	504	23	159	158	59	76	29
Sample849	237	77	36	185	304	139	35
Sample850	195	140	516	0	114	0	34
Sample851	322	212	255	32	54	52	87
Sample852	400	121	261	0	93	19	114
Sample853	191	444	50	101	56	54	91
Sample854	338	128	87	117	45	202	51
Sample855	139	0	465	282	0	28	58
Sample856	551	30	63	164	41	113	52
Sample857	0	119	392	78	182	144	65
Sample858	572	141	80	34	91	18	44
Sample859	223	32	103	182	311	140	17
Sample860	496	10	122	149	62	104	49
Sample861	540	77	67	156	44	70	46
Sample862	508	126	97	102	99	40	36
Sample863	520	100	159	35	88	49	41
Sample864	477	139	73	83	60	23	145
Sample865	86	522	123	42	62	110	22
Sample866	560	134	113	23	118	6	46
Sample867	506	57	145	110	61	90	31
Sample868	122	197	477	0	48	119	0
Sample869	265	71	272	0	160	136	116
Sample870	518	153	66	29	66	146	36
Sample871	208	213	264	0	19	227	88
Sample872	139	0	465	282	0	28	58
Sample873	161	504	184	6	8	91	80
Sample874	551	30	63	164	41	113	52
Sample875	364	116	148	0	15	106	213
Sample876	490	152	160	80	25	31	41
Sample877	139	0	465	282	0	28	58
Sample878	106	467	0	40	225	0	177
Sample879	159	205	442	0	78	94	3
Sample880	58	102	551	0	74	99	86
Sample881	400	143	39	179	12	103	139
Sample882	477	99	70	108	42	27	194
Sample883	280	218	140	158	0	22	167
Sample884	434	107	221	0	53	103	97
Sample885	480	107	68	48	49	113	135
Sample886	458	42	143	173	38	64	97
Sample887	429	164	97	81	81	47	93
Sample888	556	0	137	158	51	30	47
Sample889	79	395	176	115	0	132	83
Sample890	551	30	63	164	41	113	52
Sample891	449	77	154	93	106	39	82
Sample892	539	61	79	127	35	90	49
Sample893	453	219	135	4	37	111	33
Sample894	295	114	106	71	86	316	0
Sample895	206	30	84	194	328	149	25
Sample896	76	460	136	9	35	174	87
Sample897	532	58	130	55	92	50	55
Sample898	111	0	118	33	110	333	294
Sample899	537	64	165	62	104	29	31
Sample900	98	344	125	192	0	93	115
Sample901	512	128	172	43	79	37	47
Sample902	458	87	171	63	80	127	14
Sample903	494	21	5	185	57	196	16
Sample904	525	17	139	136	80	28	89
Sample905	420	138	112	6	63	109	152
Sample906	441	224	107	57	50	95	13
Sample907	543	81	111	54	108	41	41
Sample908	428	135	82	76	11	158	132
Sample909	472	64	119	101	71	84	103
Sample910	36	256	93	200	214	33	174
Sample911	523	92	106	111	92	27	41
Sample912	521	90	63	104	54	56	91
Sample913	124	342	79	137	38	135	126
Sample914	200	351	357	12	57	2	2
Sample915	516	46	142	75	73	16	112
Sample916	233	78	106	187	298	73	24
Sample917	481	88	129	124	78	81	33
Sample918	607	25	65	131	92	32	35
Sample919	289	45	50	205	291	106	0
Sample920	157	461	120	28	54	65	89
Sample921	413	183	30	180	99	3	116
Sample922	465	129	125	141	11	111	26
Sample923	512	48	170	89	78	56	32
Sample924	0	151	427	81	142	91	89
Sample925	448	14	147	176	103	97	38
Sample926	557	56	118	32	65	68	84
Sample927	472	122	180	67	76	54	29
Sample928	7	517	107	71	0	107	167
Sample929	417	148	167	68	59	90	65
Sample930	321	195	113	78	44	224	0
Sample931	139	0	465	282	0	28	58
Sample932	444	91	128	21	65	105	138
Sample933	333	238	87	27	157	179	0
Sample934	116	0	159	41	120	293	285
Sample935	569	80	64	112	69	14	80
Sample936	283	113	117	115	111	275	4
Sample937	136	95	124	210	245	183	10
Sample938	490	106	146	9	67	87	80
Sample939	493	91	172	87	23	87	32
Sample940	183	73	47	264	297	135	0
Sample941	139	0	465	282	0	28	58
Sample942	141	49	381	44	243	95	62
Sample943	113	479	179	115	80	1	71
Sample944	533	54	234	26	102	26	60
Sample945	520	145	100	30	69	18	103
Sample946	247	0	44	236	327	154	0
Sample947	226	113	65	205	321	86	0
Sample948	504	46	110	73	59	102	91
Sample949	377	74	76	53	138	254	2
Sample950	139	0	465	282	0	28	58
Sample951	462	0	182	152	68	114	30
Sample952	162	99	83	247	245	143	21
Sample953	530	147	102	52	89	31	49
Sample954	424	71	155	201	55	68	18
Sample955	436	89	218	0	98	36	100
Sample956	540	74	180	1	115	43	32
Sample957	94	378	127	47	138	59	172
Sample958	476	206	144	62	68	38	20
Sample959	493	131	191	0	83	37	84
Sample960	169	48	141	181	286	194	0
Sample961	466	129	90	100	111	21	103
Sample962	494	35	210	0	132	29	92
Sample963	169	240	94	22	84	314	95
Sample964	139	0	465	282	0	28	58
Sample965	206	473	139	9	49	26	80
Sample966	163	372	209	93	91	0	87
Sample967	166	119	435	0	135	75	50
Sample968	82	367	0	202	118	0	239
Sample969	355	171	63	78	82	209	16
Sample970	126	479	19	138	28	24	170
Sample971	111	0	118	33	110	333	294
Sample972	322	135	288	0	35	212	16
Sample973	139	0	465	282	0	28	58
Sample974	527	86	116	106	40	79	54
Sample975	139	0	465	282	0	28	58
Sample976	126	397	79	125	68	0	192
Sample977	484	167	97	0	42	135	83
Sample978	505	155	72	55	119	17	63
Sample979	66	158	351	96	139	73	99
Sample980	158	235	307	0	8	220	83
Sample981	482	138	186	0	111	5	56
Sample982	543	99	62	151	38	68	31
Sample983	554	54	0	177	34	43	161
Sample984	566	58	52	158	37	86	51
Sample985	128	504	125	51	18	28	134
Sample986	231	483	101	57	49	0	106
Sample987	225	233	179	113	21	0	237
Sample988	509	191	139	10	49	101	15
Sample989	509	146	187	23	77	19	31
Sample990	299	66	147	115	24	267	66
Sample991	526	73	156	0	82	48	93
Sample992	545	124	101	0	50	97	91
Sample993	575	78	32	74	101	102	46
Sample994	523	75	128	102	23	79	88
Sample995	505	76	31	216	82	98	19
Sample996	502	0	183	122	107	29	49
Sample997	522	120	89	94	53	71	43
Sample998	286	168	127	0	73	266	88
Sample999	174	521	132	2	57	7	88
Sample1000	554	91	130	43	43	74	45
Sample1001	438	68	190	91	123	59	57
Sample1002	527	62	109	72	58	82	90
Sample1003	448	161	139	76	61	17	77
Sample1004	105	406	65	156	8	130	107
Sample1005	527	108	82	83	42	83	53
Sample1006	477	106	153	138	82	27	25
Sample1007	491	128	126	70	42	47	96
Sample1008	236	432	10	80	1	43	184
Sample1009	516	76	153	43	93	7	112
Sample1010	543	22	175	72	83	90	30
Sample1011	510	0	141	115	46	49	154
Sample1012	307	0	491	15	91	65	48
Sample1013	540	77	67	156	44	70	46
Sample1014	142	392	40	141	87	49	130
Sample1015	369	179	180	45	58	113	56
Sample1016	509	168	72	67	47	99	52
Sample1017	171	82	0	206	317	177	65
Sample1018	239	323	275	34	9	0	120
Sample1019	398	35	113	156	32	175	59
Sample1020	566	58	52	158	37	86	51
Sample1021	204	33	97	237	321	90	26
Sample1022	521	142	69	70	47	107	30
Sample1023	139	0	465	282	0	28	58
Sample1024	242	102	105	153	316	49	49
Sample1025	487	64	102	166	49	95	37
Sample1026	113	79	557	0	82	108	96
Sample1027	489	218	164	0	76	24	37
Sample1028	279	267	44	27	93	232	77
Sample1029	145	474	124	79	92	0	66
Sample1030	485	60	186	89	93	52	20
Sample1031	139	0	465	282	0	28	58
Sample1032	266	190	72	140	92	235	17
Sample1033	217	18	67	197	297	42	167
Sample1034	467	156	107	50	58	69	114
Sample1035	460	114	214	0	94	49	54
Sample1036	173	485	42	93	81	37	68
Sample1037	171	537	135	0	61	31	94
Sample1038	198	30	109	173	316	179	3
Sample1039	140	198	551	0	50	19	50
Sample1040	458	96	152	60	81	140	21
Sample1041	345	63	147	177	0	145	109
Sample1042	532	117	90	76	41	92	40
Sample1043	139	0	465	282	0	28	58
Sample1044	31	0	417	153	175	139	79
Sample1045	499	46	124	102	79	49	90
Sample1046	447	116	151	17	83	63	150
Sample1047	482	219	30	108	11	139	30
Sample1048	497	115	139	30	91	0	108
Sample1049	550	60	166	23	107	0	72
Sample1050	501	75	164	21	80	120	24
Sample1051	158	406	8	86	24	133	158
Sample1052	114	542	37	83	20	49	134
Sample1053	545	42	128	67	29	93	88
Sample1054	391	96	117	126	42	230	13
Sample1055	195	457	147	0	85	53	99
Sample1056	478	201	108	91	59	5	66
Sample1057	513	103	123	51	47	120	35
Sample1058	153	250	136	208	12	142	71
Sample1059	291	78	79	57	348	165	0
Sample1060	281	0	13	196	325	145	45
Sample1061	354	190	39	0	60	217	127
Sample1062	361	106	127	30	188	170	5
Sample1063	103	446	139	50	68	89	79
Sample1064	525	88	108	81	103	41	54
Sample1065	538	120	90	49	58	96	34
Sample1066	90	416	80	126	33	101	119
Sample1067	543	123	112	33	86	37	45
Sample1068	534	65	91	149	41	78	50
Sample1069	139	0	465	282	0	28	58
Sample1070	47	431	49	140	201	12	127
Sample1071	174	368	252	53	89	0	80
Sample1072	444	130	119	111	62	117	25
Sample1073	68	486	56	21	224	0	163
Sample1074	403	166	75	60	87	137	47
Sample1075	428	49	96	154	20	104	149
Sample1076	530	102	149	94	89	0	44
Sample1077	483	145	141	0	60	139	32
Sample1078	459	42	216	7	76	158	27
Sample1079	174	39	650	0	27	84	45
Sample1080	123	497	78	90	46	31	110
Sample1081	482	53	146	115	104	2	106
Sample1082	552	69	102	101	49	84	35
Sample1083	494	78	117	164	89	27	39
Sample1084	387	97	111	120	69	251	0
Sample1085	539	94	146	44	67	56	46
Sample1086	548	105	97	81	56	64	35
Sample1087	570	92	37	130	76	16	65
Sample1088	254	109	249	75	0	178	120
Sample1089	508	112	156	16	96	32	61
Sample1090	42	370	221	130	10	150	112
Sample1091	465	160	93	65	90	57	70
Sample1092	505	130	125	62	101	33	52
Sample1093	527	58	148	28	103	66	50
Sample1094	540	124	78	60	75	69	46
Sample1095	237	26	34	212	371	52	68
Sample1096	506	126	57	49	63	0	184
Sample1097	502	0	172	124	61	58	69
Sample1098	579	115	58	66	82	55	53
Sample1099	407	136	79	114	43	180	16
Sample1100	202	81	36	281	236	171	0
Sample1101	481	108	159	110	88	30	43
Sample1102	235	0	73	186	307	165	30
Sample1103	368	59	34	186	320	41	0
Sample1104	279	164	109	0	101	328	0
Sample1105	506	75	157	7	109	0	154
Sample1106	397	190	146	0	141	0	126
Sample1107	426	219	126	0	125	42	54
Sample1108	506	7	145	113	78	83	53
Sample1109	321	93	246	161	0	93	57
Sample1110	573	38	158	19	116	68	28
Sample1111	337	238	47	86	17	257	0
Sample1112	527	72	23	109	59	26	165
Sample1113	239	126	446	0	63	135	14
Sample1114	369	208	130	58	110	123	28
Sample1115	542	70	106	98	70	57	37
Sample1116	87	68	559	118	3	161	4
Sample1117	318	63	470	7	95	0	55
Sample1118	470	180	121	93	46	36	33
Sample1119	188	183	68	180	0	191	155
Sample1120	476	17	99	180	56	90	90
Sample1121	5	322	130	70	308	0	197
Sample1122	297	123	124	118	114	225	0
Sample1123	200	447	89	27	128	0	95
Sample1124	489	106	127	94	57	45	82
Sample1125	477	182	76	12	110	29	138
Sample1126	487	157	174	0	106	5	86
Sample1127	332	222	220	22	40	63	85
Sample1128	480	138	121	98	33	78	44
Sample1129	133	412	146	71	43	90	87
Sample1130	224	50	134	168	290	107	12
Sample1131	566	58	52	158	37	86	51
Sample1132	119	207	299	0	68	329	0
Sample1133	409	22	150	179	56	133	78
Sample1134	180	541	65	0	66	48	68
Sample1135	228	65	0	270	293	104	54
Sample1136	96	413	136	0	201	16	154
Sample1137	472	90	154	61	68	71	84
Sample1138	431	138	189	82	88	42	44
Sample1139	372	87	236	159	108	30	35
Sample1140	179	203	114	116	147	0	209
Sample1141	139	0	465	282	0	28	58
Sample1142	139	0	465	282	0	28	58
Sample1143	213	449	183	0	74	3	99
Sample1144	262	212	169	0	146	153	81
Sample1145	292	0	43	242	347	62	10
Sample1146	472	166	126	42	110	0	110
Sample1147	131	514	111	72	47	0	100
Sample1148	536	131	151	27	96	27	24
Sample1149	491	128	79	182	88	21	47
Sample1150	558	152	99	18	109	5	51
Sample1151	150	454	121	75	76	0	125
Sample1152	240	74	64	115	298	198	26
Sample1153	139	0	465	282	0	28	58
Sample1154	103	467	82	103	40	48	130
Sample1155	332	3	128	188	177	154	5
Sample1156	574	71	82	71	77	0	114
Sample1157	494	79	84	96	46	126	61
Sample1158	452	222	86	85	69	0	94
Sample1159	105	521	127	67	30	49	76
Sample1160	249	181	72	104	329	72	0
Sample1161	497	80	95	54	96	127	65
Sample1162	545	121	85	39	93	0	102
Sample1163	282	97	150	54	82	234	74
Sample1164	494	77	157	70	48	76	86
Sample1165	147	431	73	91	85	59	96
Sample1166	521	20	157	81	76	110	20
Sample1167	198	85	125	197	295	84	12
Sample1168	323	148	171	110	4	207	45
Sample1169	558	75	105	100	99	47	24
Sample1170	229	277	178	128	0	0	167
Sample1171	163	457	80	63	40	139	25
Sample1172	514	176	116	56	68	13	49
Sample1173	583	99	138	4	93	5	41
Sample1174	550	57	110	96	74	64	37
Sample1175	489	128	80	96	84	81	50
Sample1176	473	172	72	89	31	102	69
Sample1177	505	107	186	10	53	81	36
Sample1178	170	448	114	74	69	29	76
Sample1179	512	144	131	75	92	0	38
Sample1180	534	116	75	92	41	39	89
Sample1181	551	30	63	164	41	113	52
Sample1182	56	369	9	161	239	0	188
Sample1183	505	82	96	60	63	44	150
Sample1184	502	40	190	113	48	28	87
Sample1185	526	72	153	55	79	70	25
Sample1186	520	86	134	32	82	84	54
Sample1187	492	121	139	70	33	99	67
Sample1188	517	158	61	165	59	18	36
Sample1189	161	306	91	122	223	0	114
Sample1190	500	114	119	42	76	102	27
Sample1191	137	356	113	143	99	28	109
Sample1192	86	410	111	113	53	100	109
Sample1193	104	215	544	5	52	0	108
Sample1194	118	459	13	190	57	0	139
Sample1195	506	78	108	147	79	54	28
Sample1196	550	127	95	0	75	38	115
Sample1197	220	145	92	138	315	84	4
Sample1198	456	193	116	48	71	46	89
Sample1199	566	58	52	158	37	86	51
Sample1200	104	320	101	182	55	136	82
Sample1201	101	461	120	130	89	0	81
Sample1202	419	35	168	103	57	194	24
Sample1203	475	152	136	116	57	30	42
Sample1204	558	134	72	77	62	40	49
Sample1205	315	239	220	0	9	126	103
Sample1206	529	141	146	42	73	13	48
Sample1207	460	176	198	9	96	17	36
Sample1208	246	13	524	126	92	0	23
Sample1209	537	129	119	43	90	12	42
Sample1210	570	67	79	67	75	80	47
Sample1211	311	79	160	87	93	107	148
Sample1212	516	152	88	58	92	36	58
Sample1213	536	120	148	0	50	113	33
Sample1214	203	370	27	150	31	0	205
Sample1215	514	95	192	2	100	35	40
Sample1216	528	163	63	122	65	34	52
Sample1217	512	148	125	21	113	21	45
Sample1218	272	89	62	129	308	153	0
Sample1219	220	457	87	40	36	61	81
Sample1220	519	74	118	104	72	58	40
Sample1221	101	342	0	3	268	45	211
Sample1222	492	31	156	147	64	89	46
Sample1223	324	47	90	177	42	278	36
Sample1224	431	81	201	75	54	48	100
Sample1225	429	212	220	0	36	95	23
Sample1226	446	117	177	51	100	102	33
Sample1227	578	68	80	117	80	2	63
Sample1228	270	166	474	0	23	0	30
Sample1229	119	411	74	219	18	2	133
Sample1230	380	123	67	19	82	286	27
Sample1231	232	406	144	76	76	3	96
Sample1232	519	49	143	101	83	45	48
Sample1233	517	71	107	120	73	57	35
Sample1234	425	43	133	192	57	86	79
Sample1235	104	345	15	114	263	5	167
Sample1236	505	114	149	62	83	32	35
Sample1237	551	30	63	164	41	113	52
Sample1238	161	235	79	170	75	91	163
Sample1239	574	92	81	76	54	78	37
Sample1240	104	459	152	0	102	0	170
Sample1241	220	152	97	77	23	347	56
Sample1242	464	102	154	68	43	87	82
Sample1243	42	483	155	153	21	70	57
Sample1244	509	34	37	181	70	180	12
Sample1245	80	415	146	162	8	102	66
Sample1246	541	123	90	25	116	75	38
Sample1247	496	96	182	62	53	66	26
Sample1248	134	505	202	4	85	58	40
Sample1249	500	80	127	90	49	102	44
Sample1250	37	510	97	75	77	108	75
Sample1251	526	96	150	7	108	40	58
Sample1252	245	42	175	164	94	267	0
Sample1253	489	150	79	38	31	141	80
Sample1254	485	117	90	100	48	48	104
Sample1255	542	122	64	114	10	87	46
Sample1256	485	53	150	81	91	81	67
Sample1257	530	140	89	54	69	70	48
Sample1258	507	161	67	21	106	3	114
Sample1259	505	88	93	103	57	128	34
Sample1260	42	327	187	149	57	34	188
Sample1261	194	54	68	234	283	185	0
Sample1262	556	78	103	69	75	62	37
Sample1263	488	126	168	55	95	25	35
Sample1264	407	81	163	78	7	237	49
Sample1265	562	116	75	11	62	49	105
Sample1266	130	439	71	143	26	55	110
Sample1267	163	391	150	33	62	78	98
Sample1268	542	119	60	66	79	123	29
Sample1269	495	105	158	0	96	97	41
Sample1270	259	331	0	109	65	105	112
Sample1271	395	110	201	99	63	127	20
Sample1272	443	23	99	121	104	163	21
Sample1273	481	72	108	125	59	35	135
Sample1274	307	108	93	65	137	266	25
Sample1275	118	524	98	42	17	102	80
Sample1276	211	39	68	267	269	161	0
Sample1277	139	0	465	282	0	28	58
Sample1278	87	483	152	41	64	93	64
Sample1279	487	21	112	164	47	134	21
Sample1280	250	64	101	99	302	170	0
Sample1281	262	85	11	152	306	163	29
Sample1282	384	112	18	212	147	0	106
Sample1283	189	214	0	154	237	5	203
Sample1284	540	77	67	156	44	70	46
Sample1285	73	357	142	101	17	108	203
Sample1286	286	190	388	0	14	0	86
Sample1287	495	77	156	71	116	44	21
Sample1288	105	391	240	23	58	149	15
Sample1289	522	93	89	72	48	56	109
Sample1290	419	148	124	131	46	41	99
Sample1291	345	83	42	241	93	188	27
Sample1292	518	57	165	65	75	86	42
Sample1293	446	224	181	0	84	26	31
Sample1294	456	152	60	132	14	99	100
Sample1295	344	168	141	45	68	84	150
Sample1296	267	80	202	127	115	217	0
Sample1297	297	44	18	168	284	137	60
Sample1298	94	384	208	51	1	80	147
Sample1299	121	295	23	194	217	0	168
Sample1300	484	52	103	183	53	88	37
Sample1301	471	129	56	79	62	78	133
Sample1302	0	157	459	5	184	112	104
Sample1303	223	156	390	0	0	98	125
Sample1304	187	118	522	15	55	51	60
Sample1305	301	6	137	140	177	251	0
Sample1306	469	155	50	59	104	162	35
Sample1307	472	186	114	44	85	76	41
Sample1308	194	500	47	81	67	0	84
Sample1309	547	90	85	51	52	64	103
Sample1310	381	18	336	0	94	33	121
Sample1311	102	438	123	45	64	92	122
Sample1312	0	298	6	140	295	118	117
Sample1313	340	152	95	100	79	202	0
Sample1314	541	137	90	52	86	16	63
Sample1315	151	26	138	197	260	230	0
Sample1316	139	0	465	282	0	28	58
Sample1317	457	101	159	60	86	40	105
Sample1318	573	128	71	40	73	45	50
Sample1319	139	0	465	282	0	28	58
Sample1320	542	44	115	146	66	42	53
Sample1321	146	464	119	61	63	94	21
Sample1322	190	72	166	133	277	177	0
Sample1323	301	0	72	154	371	65	38
Sample1324	112	491	121	71	82	0	91
Sample1325	533	90	124	30	85	87	51
Sample1326	373	240	0	153	47	136	26
Sample1327	145	438	139	94	26	36	89
Sample1328	245	228	214	101	9	0	183
Sample1329	546	64	63	172	33	23	107
Sample1330	535	72	125	46	120	41	46
Sample1331	63	362	152	150	0	136	103
Sample1332	181	0	74	241	270	192	49
Sample1333	508	175	10	113	38	15	149
Sample1334	41	415	0	149	248	0	120
Sample1335	158	465	93	19	63	131	59
Sample1336	523	143	88	38	60	83	50
Sample1337	468	97	192	61	89	59	34
Sample1338	151	309	82	141	41	145	132
Sample1339	547	24	125	90	109	0	97
Sample1340	157	460	98	137	36	18	74
Sample1341	516	138	89	82	102	0	89
Sample1342	158	446	228	36	44	60	63
Sample1343	459	95	248	44	55	61	19
Sample1344	136	199	526	15	34	68	39
Sample1345	513	131	158	0	120	0	105
Sample1346	567	121	105	35	75	30	52
Sample1347	500	96	0	150	52	147	29
Sample1348	537	96	123	74	105	20	33
Sample1349	69	417	152	130	30	117	58
Sample1350	340	182	254	31	0	67	107
Sample1351	79	430	0	114	213	0	195
Sample1352	527	49	70	168	49	97	48
Sample1353	267	27	93	220	311	95	3
Sample1354	154	407	123	66	35	69	128
Sample1355	140	432	94	81	43	118	71
Sample1356	547	117	95	64	89	17	56
Sample1357	536	150	74	14	90	79	42
Sample1358	267	11	83	194	323	127	10
Sample1359	478	63	167	126	36	80	42
Sample1360	574	90	91	61	69	64	40
Sample1361	136	347	103	115	0	128	151
Sample1362	55	424	126	185	40	103	47
Sample1363	149	477	181	0	43	25	100
Sample1364	505	30	150	91	86	76	41
Sample1365	394	79	150	100	45	179	87
Sample1366	441	82	205	49	31	127	83
Sample1367	554	21	113	122	89	90	30
Sample1368	443	64	211	91	117	64	18
Sample1369	30	408	0	141	175	33	216
Sample1370	502	114	78	144	65	35	42
Sample1371	503	117	73	169	38	66	42
Sample1372	318	198	262	0	19	133	51
Sample1373	169	542	110	29	24	70	84
Sample1374	533	86	107	88	59	71	48
Sample1375	450	197	135	0	67	117	34
Sample1376	512	117	138	0	106	89	26
Sample1377	502	139	106	48	96	0	101
Sample1378	572	141	80	34	91	18	44
Sample1379	558	71	87	85	39	114	33
Sample1380	266	140	154	0	165	231	62
Sample1381	165	364	138	90	110	25	92
Sample1382	0	186	539	90	47	124	0
Sample1383	447	28	80	193	96	115	27
Sample1384	379	85	100	178	56	217	19
Sample1385	119	387	216	46	41	90	83
Sample1386	432	135	161	96	13	101	70
Sample1387	473	79	120	109	53	126	40
Sample1388	446	109	210	59	64	108	12
Sample1389	507	173	183	0	87	20	38
Sample1390	71	505	65	111	39	97	101
Sample1391	174	425	206	0	60	25	137
Sample1392	244	217	139	13	46	239	92
Sample1393	182	300	155	211	19	113	0
Sample1394	529	61	194	56	106	0	43
Sample1395	516	145	134	54	45	41	80
Sample1396	489	132	90	27	86	92	84
Sample1397	568	127	76	67	102	0	52
Sample1398	491	54	204	46	71	87	28
Sample1399	516	85	83	173	22	100	21
Sample1400	497	105	185	0	82	35	88
Sample1401	493	59	77	186	39	63	83
Sample1402	359	113	396	0	108	0	66
Sample1403	155	358	147	142	33	35	105
Sample1404	468	156	133	17	28	161	18
Sample1405	540	154	56	94	53	50	45
Sample1406	0	394	31	240	193	0	156
Sample1407	465	109	200	37	95	15	71
Sample1408	57	497	189	54	55	66	63
Sample1409	557	19	15	193	87	24	113
Sample1410	540	77	67	156	44	70	46
Sample1411	362	120	0	139	72	268	21
Sample1412	0	128	396	124	134	79	140
Sample1413	566	58	52	158	37	86	51
Sample1414	556	113	71	72	53	84	51
Sample1415	162	390	135	143	63	2	77
Sample1416	95	340	145	245	86	10	73
Sample1417	444	144	224	15	140	0	25
Sample1418	459	46	189	130	40	101	35
Sample1419	182	395	54	44	84	96	113
Sample1420	448	78	182	62	80	54	114
Sample1421	415	86	175	157	74	65	54
Sample1422	257	69	37	138	355	126	14
Sample1423	209	40	72	204	301	119	25
Sample1424	412	154	35	69	103	202	5
Sample1425	494	147	115	52	140	0	60
Sample1426	167	375	64	150	31	82	104
Sample1427	566	58	52	158	37	86	51
Sample1428	72	262	169	205	101	32	140
Sample1429	598	33	113	86	78	26	55
Sample1430	209	497	131	4	60	91	43
Sample1431	561	0	152	88	77	109	27
Sample1432	510	49	177	61	74	96	25
Sample1433	139	0	465	282	0	28	58
Sample1434	113	528	162	0	48	1	135
Sample1435	584	126	104	11	78	45	44
Sample1436	468	170	192	7	80	18	44
Sample1437	571	139	69	98	23	78	36
Sample1438	571	155	97	37	80	0	45
Sample1439	139	0	465	282	0	28	58
Sample1440	455	67	95	189	76	44	87
Sample1441	156	465	136	96	33	61	88
Sample1442	509	93	89	107	79	37	101
Sample1443	539	70	75	126	56	65	49
